"id","name","gender","school_level","shift","student_drop_count"
1514003,"Khyala, J.J. Colony, No.1-GBSSS","Boys","Sr.Secondary","Evening",177
1002177,"Trilokpuri, Block 27-SBV","Boys","Sarvodaya Sr.Secondary","Evening",177
1617219,"Nilothi-SBV","Boys","Sarvodaya Sr.Secondary","Evening",176
1104006,"Ghonda, No.1-GBSSS","Boys","Sr.Secondary","Evening",175
1515006,"Rajouri Garden Extn.-GBSSS","Boys","Sr.Secondary","General",174
1002003,"Kalyanvas-SBV (Raj Bihari Bose)","Boys","Sarvodaya Sr.Secondary","Evening",174
1104406,"Loni Road,East Gokul Pur,Govt. Boys Sr.Sec.School","Boys","Sr.Secondary","Evening",174
1106264,"Sunder Nagri- GGSSS","Girls","Sr.Secondary","Morning",173
1310430,"Narela,Sect. A-6, Pkt-2 -SBV","Boys","Sarvodaya Sr.Secondary","General",172
1413013,"Rithala-GBSSS","Boys","Sr.Secondary","Evening",171
1618002,"Vikas Puri,Block A-SBV","Boys","Sarvodaya Sr.Secondary","General",171
1106014,"Nand Nagri Extn., F-1,F-2, GBSSS","Boys","Sr.Secondary","Evening",171
1104419,"Tukhmirpur, No.2 - GGSSS","Girls","Sr.Secondary","Morning",170
1413074,"Rohini, Sector 7-SV","Co-ed","Sarvodaya Sr.Secondary","General",169
1002020,"Kalyanpuri -GBSSS","Boys","Sr.Secondary","Evening",169
1618059,"Bindapur-GBSSS","Boys","Sr.Secondary","Evening",169
1925015,"Badarpur, No.1-GBSSS","Boys","Sr.Secondary","Evening",169
1925250,"Tughlakabad Extn.-GGSSS No.2","Girls","Sr.Secondary","Morning",167
1923041,"Hauz Rani-Sr.Sec.SKV (Raja RamMohan Roy)","Girls","Sarvodaya Sr.Secondary","Morning",167
1618020,"Kakrola-GGSSS","Girls","Sr.Secondary","General",167
1617024,"Nangloi, Phase II-GBSSS","Boys","Sr.Secondary","Evening",167
1821242,"Dawarka,Sec-16A, G(Co-ed)SSS","Co-ed","Sr.Secondary","General",166
1310043,"Pooth Khurd-SKV (Raja RamMohan Roy)","Girls","Sarvodaya Sr.Secondary","Morning",166
1106025,"Dilshad Garden, Block C-SKV","Girls","Sarvodaya Sr.Secondary","Morning",166
1516003,"Mansarovar Garden-SV","Co-ed","Sarvodaya Sr.Secondary","General",165
1002010,"Trilokpuri, Block 20-SBV","Boys","Sarvodaya Sr.Secondary","Evening",165
1104028,"Mustufabad-GGSS","Girls","Secondary","Morning",165
1821237,"Dwarka, Sector III(II Site)-G(Co-ed)SSS","Co-ed","Sr.Secondary","General",164
1207036,"Burari-SKV","Girls","Sarvodaya Sr.Secondary","Morning",164
1104490,"Sarvodaya Bal Vidhyalaya","Boys","Sarvodaya Sr.Secondary","Evening",164
